epoch,train_loss,train_acc,train_bat_acc,train_non_bat_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_specificity,val_fpr,val_bat_acc,val_non_bat_acc,val_auc_roc,val_avg_precision,val_tp,val_tn,val_fp,val_fn
0,0,0,0,0,0.6788574457168579,0.59375,0.59375,1.0,0.7450980544090271,0.0,1.0,1.0,0.0,0.5445344129554656,0.6961818440799665,38.0,0.0,26.0,0.0
0,0.4477844834327698,0.875,0.8888888955116272,0.8571429252624512,0.46494245529174805,0.8550000190734863,0.9646464586257935,0.7446393966674805,0.840484082698822,0.9712525606155396,0.028747433796525,0.7446393966674805,0.9712526202201843,0.9320100387862195,0.9483704707851067,382.0,473.0,14.0,131.0
1,0.4485833942890167,0.8125,0.75,0.875,0.4070703983306885,0.8949999809265137,0.9042357206344604,0.9025735259056091,0.9034038782119751,0.8859649300575256,0.11403508484363556,0.9025735259056091,0.8859649300575256,0.9456591847265223,0.9527547735393167,491.0,404.0,52.0,53.0
2,0.5204569101333618,0.8125,0.8333333730697632,0.800000011920929,0.42717739939689636,0.8690000176429749,0.8884381055831909,0.8521400690078735,0.8699105978012085,0.8868312835693359,0.11316872388124466,0.8521400690078735,0.8868312239646912,0.9314742758322525,0.9365069823139542,438.0,431.0,55.0,76.0
3,0.44092094898223877,0.875,1.0,0.800000011920929,0.4156811237335205,0.8679999709129333,0.9266055226325989,0.8015872836112976,0.8595744371414185,0.9354838728904724,0.06451612710952759,0.8015873432159424,0.9354838132858276,0.9442964349718383,0.9432150048319838,404.0,464.0,32.0,100.0
4,0.3398711681365967,0.875,0.7777777910232544,1.0,0.4001535475254059,0.8629999756813049,0.9479392766952515,0.7945454716682434,0.8644905686378479,0.9466666579246521,0.0533333346247673,0.7945454716682434,0.9466667175292969,0.9541010101010101,0.9633947783918653,437.0,426.0,24.0,113.0
5,0.399271160364151,0.9375,1.0,0.9090909361839294,0.358471155166626,0.9100000262260437,0.9134438037872314,0.9202226400375366,0.9168206453323364,0.8980477452278137,0.10195227712392807,0.9202226400375366,0.8980477452278137,0.9661299345216295,0.9708245459936671,496.0,414.0,47.0,43.0
6,0.3381381630897522,1.0,1.0,1.0,0.38084715604782104,0.9049999713897705,0.935606062412262,0.8900901079177856,0.9122806787490845,0.9235954880714417,0.07640449702739716,0.8900901079177856,0.9235954880714417,0.9540236866079563,0.965532652993875,494.0,411.0,34.0,61.0
7,0.45709145069122314,0.8125,0.75,0.8333333730697632,0.37486404180526733,0.902999997138977,0.9389764070510864,0.8784530162811279,0.9077069759368896,0.9321662783622742,0.06783369928598404,0.8784530758857727,0.932166337966919,0.9580054079975499,0.9684181219500949,477.0,426.0,31.0,66.0
8,0.3699302077293396,0.875,0.7777777910232544,1.0,0.36379265785217285,0.9110000133514404,0.9186691045761108,0.9169741868972778,0.9178208708763123,0.903930127620697,0.09606987237930298,0.9169741868972778,0.903930127620697,0.9581567540566237,0.970888474533952,497.0,414.0,44.0,45.0
