epoch,train_loss,train_acc,train_bat_acc,train_non_bat_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_specificity,val_fpr,val_bat_acc,val_non_bat_acc,val_auc_roc,val_avg_precision,val_tp,val_tn,val_fp,val_fn
9,0.5209678411483765,0.8125,0.875,0.75,0.3644557595252991,0.9160000085830688,0.9226190447807312,0.9117646813392639,0.9171597361564636,0.9204081892967224,0.07959183305501938,0.9117647409439087,0.9204081296920776,0.961172468987595,0.9694666922043867,465.0,451.0,39.0,45.0
10,0.3838627338409424,0.9375,0.9000000357627869,1.0,0.3676412105560303,0.906000018119812,0.9480769038200378,0.8803571462631226,0.9129629731178284,0.9386363625526428,0.06136363744735718,0.8803571462631226,0.9386363625526428,0.9610836038961038,0.971900248761232,493.0,413.0,27.0,67.0
11,0.39761218428611755,0.9375,1.0,0.9000000357627869,0.3697277009487152,0.8999999761581421,0.9063136577606201,0.891783595085144,0.8989899158477783,0.9081836342811584,0.09181636571884155,0.891783595085144,0.9081836342811584,0.9600358401433605,0.959549406714408,445.0,455.0,46.0,54.0
12,0.5352738499641418,0.8125,0.8181818723678589,0.800000011920929,0.358778178691864,0.9139999747276306,0.9346153736114502,0.9033457040786743,0.9187145233154297,0.9264069199562073,0.07359307259321213,0.9033457040786743,0.9264069199562073,0.9606768695988026,0.967929065644343,486.0,428.0,34.0,52.0
13,0.24295923113822937,1.0,1.0,1.0,0.3848351240158081,0.8920000195503235,0.8996415734291077,0.9061371684074402,0.902877688407898,0.8744394779205322,0.12556053698062897,0.9061371684074402,0.8744394779205322,0.949762024250862,0.9626151291954896,502.0,390.0,56.0,52.0
14,0.3066466450691223,0.9375,1.0,0.8888888955116272,0.37693846225738525,0.8949999809265137,0.9216061234474182,0.8827838897705078,0.9017773866653442,0.9096916317939758,0.09030836820602417,0.8827838897705078,0.909691572189331,0.9550152490681124,0.9674339937222943,482.0,413.0,41.0,64.0
15,0.5072067975997925,0.8125,0.7692307829856873,1.0,0.34219804406166077,0.9160000085830688,0.9468504190444946,0.8940520286560059,0.9196940660476685,0.9415584206581116,0.05844155699014664,0.8940520286560059,0.9415584206581116,0.9664622861648884,0.9755790665040354,481.0,435.0,27.0,57.0
16,0.4016501307487488,0.875,0.8571429252624512,0.8888888955116272,0.37359240651130676,0.9039999842643738,0.9284332394599915,0.8905380368232727,0.9090908765792847,0.9197397232055664,0.08026030659675598,0.8905380368232727,0.9197397232055664,0.9552758985668809,0.9666400548245921,480.0,424.0,37.0,59.0
17,0.3342948257923126,1.0,1.0,1.0,0.3567622900009155,0.9200000166893005,0.9280155897140503,0.9173076748847961,0.9226304888725281,0.9229166507720947,0.07708333432674408,0.9173076748847961,0.9229167103767395,0.9662860576923078,0.9714592587830383,477.0,443.0,37.0,43.0
18,0.28263285756111145,1.0,1.0,1.0,0.372175395488739,0.8920000195503235,0.901768147945404,0.8878143429756165,0.8947368264198303,0.8964803218841553,0.10351967066526413,0.8878143429756165,0.8964803218841553,0.959068683398008,0.9681392783513036,459.0,433.0,50.0,58.0
19,0.5350194573402405,0.75,0.6666666865348816,0.800000011920929,0.3579563498497009,0.9089999794960022,0.9443339705467224,0.8828996419906616,0.9125840663909912,0.939393937587738,0.06060606241226196,0.8828996419906616,0.939393937587738,0.9624189317497868,0.9697929972944173,475.0,434.0,28.0,63.0
