freq,amp_thresh,goer_thresh,acc,precision,recall,f1,specificity,tp,tn,fp,fn
45381.29625267035,0.007396649355453241,7.590939291795589e-06,0.515,0.515,1.0,0.6798679867986799,0.0,515,0,485,0
21462.679848922657,0.00035839357523994735,5.402413800314335e-06,0.499,0.499,1.0,0.6657771847898599,0.0,499,0,501,0
49840.02341630412,0.00035879835324100016,2.6048008477629934e-07,0.511,0.511,1.0,0.6763732627399074,0.0,511,0,489,0
24042.369372224624,0.0002578155184472786,5.677444789823462e-06,0.464,0.464,1.0,0.6338797814207651,0.0,464,0,536,0
25472.40770440602,0.001312656242748287,7.765817482769058e-06,0.525,0.5245245245245245,1.0,0.6881155613919895,0.0021008403360903184,524,1,475,0
55931.7706622545,0.0063029684097761175,7.243106865295551e-06,0.5,0.4994994994994995,1.0,0.6662216288384513,0.0019960079839920954,499,1,500,0
29644.062441782015,0.0001620434475550914,3.784119878247933e-06,0.487,0.487,1.0,0.6550100874243443,0.0,487,0,513,0
22092.668762928442,0.0001821572090317607,1.1660715588139296e-07,0.528,0.528,1.0,0.6910994764397905,0.0,528,0,472,0
36610.70497799206,0.0005079760887124191,8.793860739431386e-07,0.484,0.484,1.0,0.6522911051212938,0.0,484,0,516,0
20132.488781540214,0.0006672350246052674,3.4821640265865936e-06,0.506,0.506,1.0,0.6719787516600265,0.0,506,0,494,0
30095.66053507164,0.0017707414361391722,1.4149233364183017e-06,0.507,0.507,1.0,0.6728599867285998,0.0,507,0,493,0
56892.56913036157,0.0025949779501793927,9.946287799978293e-06,0.494,0.4934934934934935,1.0,0.660857908847185,0.0019723865877323,493,1,506,0
41396.795703132084,0.007723131902938591,1.9504137052609963e-06,0.498,0.498,1.0,0.664886515353805,0.0,498,0,502,0
27677.26681250235,0.003317955213521228,8.663109333622499e-07,0.487,0.487,1.0,0.6550100874243443,0.0,487,0,513,0
35749.754986978885,0.0010939898104606563,2.67098114200434e-06,0.51,0.51,1.0,0.6754966887417219,0.0,510,0,490,0
57772.0515733248,0.004221189941302571,4.5860959022116104e-07,0.507,0.5065065065065065,1.0,0.6724252491694352,0.002024291497934731,506,1,493,0
27564.45273520122,0.001146825170832474,4.346706531615568e-07,0.474,0.474,1.0,0.6431478968792401,0.0,474,0,526,0
40858.36515472772,0.00406030796644619,3.774602241830736e-07,0.479,0.479,1.0,0.6477349560513861,0.0,479,0,521,0
24418.249206016713,0.0018588074909597439,1.4997750310933953e-07,0.512,0.5115115115115115,1.0,0.6768211920529801,0.002044989775009305,511,1,488,0
23822.607803263425,0.0018514629810142988,1.0668640349613684e-07,0.514,0.514,1.0,0.678996036988111,0.0,514,0,486,0
25155.577460231343,0.0008331973241576835,2.615571778461599e-07,0.503,0.503,1.0,0.669328010645376,0.0,503,0,497,0
32392.02931482597,0.00183868310085058,5.348820136580829e-07,0.517,0.517,1.0,0.6816084377059987,0.0,517,0,483,0
25941.539370025162,0.004401928030975371,1.7647416373633464e-07,0.492,0.492,1.0,0.6595174262734584,0.0,492,0,508,0
30133.094793292898,0.0013766498292843673,6.168556122127586e-07,0.522,0.522,1.0,0.6859395532194481,0.0,522,0,478,0
33321.20047801557,0.0023494928101194866,1.8010222495374308e-07,0.495,0.4944944944944945,1.0,0.6617548559946417,0.00197628458494118,494,1,505,0
22512.909455156176,0.005592194877684093,1.2031039305332975e-06,0.523,0.523,1.0,0.6868023637557452,0.0,523,0,477,0
51368.48718467886,0.0025539849712519487,3.037930817037833e-07,0.498,0.498,1.0,0.664886515353805,0.0,498,0,502,0
20350.963653302308,0.000683828784137663,1.451274040300955e-07,0.49,0.49,1.0,0.6577181208053692,0.0,490,0,510,0
37723.54731794177,0.00010200498370243031,6.506547039869997e-07,0.491,0.491,1.0,0.6586183769282361,0.0,491,0,509,0
45527.65621131037,0.00834717347824692,2.140833037984849e-06,0.508,0.508,1.0,0.6737400530503979,0.0,508,0,492,0
27455.0252495379,0.0037391438496200877,2.2290274990835724e-07,0.477,0.477,1.0,0.6459038591740014,0.0,477,0,523,0
58760.4076734366,0.007344302473872267,7.342588224792941e-06,0.5,0.4994994994994995,1.0,0.6662216288384513,0.0019960079839920954,499,1,500,0
53221.00077904024,0.005702671885272563,4.865969610957297e-06,0.478,0.47695390781563124,1.0,0.6458616010854816,0.0038167938930569315,476,2,522,0
50364.39017899904,0.003092920643081243,4.347842085554722e-06,0.487,0.4864864864864865,1.0,0.6545454545454545,0.001945525291790943,486,1,513,0
46417.12358272015,0.005597006695533656,9.257502984018598e-06,0.495,0.495,1.0,0.6622073578595318,0.0,495,0,505,0
59858.74420557038,0.0015309646550740019,5.572306782872666e-06,0.512,0.5110220440881763,1.0,0.6763925729442971,0.004081632652977926,510,2,488,0
53879.480329432336,0.0014637990254633589,6.068901101275879e-06,0.501,0.49949849548645936,1.0,0.6662207357859532,0.005976095617410835,498,3,499,0
54978.928103985774,0.0014382360901032045,5.649190235269327e-06,0.489,0.48848848848848847,1.0,0.65635507733692,0.001953124999961853,488,1,511,0
53862.5017007624,0.00041443383385890523,4.67772334047819e-06,0.497,0.497,1.0,0.663994655978624,0.0,497,0,503,0
48439.02373605717,0.0008148566719278188,3.110720878075322e-06,0.51,0.51,1.0,0.6754966887417219,0.0,510,0,490,0
59972.272631380736,0.0013645158040435407,6.5535426123878556e-06,0.499,0.4959758551307847,1.0,0.6630800268997983,0.0118343195263938,493,6,501,0
52382.313931782075,0.0013902312548690933,6.334131019081063e-06,0.511,0.5105105105105106,1.0,0.6759443339960238,0.002040816326488963,510,1,489,0
59974.6343262122,0.0005524267248059464,8.144410553744293e-06,0.48,0.4779116465863454,1.0,0.6467391304347826,0.007633587786113863,476,4,520,0
59769.684121220875,0.0005305950985831497,5.24263178070429e-06,0.515,0.5145145145145145,1.0,0.6794448116325181,0.002057613168681942,514,1,485,0
