epoch,train_loss,train_acc,train_bat_acc,train_non_bat_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_specificity,val_fpr,val_bat_acc,val_non_bat_acc,val_auc_roc,val_avg_precision,val_tp,val_tn,val_fp,val_fn
0,0,0,0,0,0.7157950401306152,0.40625,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.44078947368421045,0.5677531926643796,0.0,26.0,0.0,38.0
0,0.4443085193634033,0.875,0.875,0.875,0.5366524457931519,0.7419999837875366,0.7539370059967041,0.7422480583190918,0.748046875,0.7417355179786682,0.2582644522190094,0.7422480583190918,0.7417355179786682,0.8367768595041324,0.8299206705921747,383.0,359.0,125.0,133.0
1,0.36260759830474854,1.0,1.0,1.0,0.5306566953659058,0.7789999842643738,0.9281250238418579,0.6000000238418579,0.7288343906402588,0.9544554352760315,0.04554455354809761,0.6000000238418579,0.9544554948806763,0.9086668666866686,0.910453662974294,297.0,482.0,23.0,198.0
2,0.41232651472091675,0.875,0.8571429252624512,0.8888888955116272,0.43626028299331665,0.8640000224113464,0.9111111164093018,0.8102766871452332,0.857740581035614,0.9190283417701721,0.08097165822982788,0.8102766871452332,0.9190283417701721,0.9341225136419644,0.9319485803340749,410.0,454.0,40.0,96.0
3,0.5424702167510986,0.8125,0.7272727489471436,1.0,0.4467688202857971,0.8420000076293945,0.7732463479042053,0.9614604711532593,0.8571428656578064,0.7258382439613342,0.2741617262363434,0.9614604115486145,0.725838303565979,0.9542670363391226,0.9541525942068301,474.0,368.0,139.0,19.0
4,0.4009288549423218,0.8125,1.0,0.6666666865348816,0.38969266414642334,0.8920000195503235,0.8913043737411499,0.8948412537574768,0.893069326877594,0.8891128897666931,0.11088709533214569,0.8948413133621216,0.8891128897666931,0.9532070052483359,0.9519534460128269,451.0,441.0,55.0,53.0
5,0.3358028829097748,0.9375,0.875,1.0,0.3735933005809784,0.9089999794960022,0.9145833253860474,0.8977504968643188,0.9060887098312378,0.9197651743888855,0.0802348330616951,0.8977504968643188,0.9197651743888855,0.9600446616162224,0.9591687739125699,439.0,470.0,41.0,50.0
6,0.42655453085899353,0.875,0.8888888955116272,0.8571429252624512,0.3892025649547577,0.8949999809265137,0.8936567306518555,0.9089183807373047,0.9012229442596436,0.8794925808906555,0.12050739675760269,0.9089183807373047,0.8794925808906555,0.9554220105828596,0.9604787077151287,479.0,416.0,57.0,48.0
7,0.329177588224411,0.9375,1.0,0.9000000357627869,0.36460426449775696,0.9010000228881836,0.9413092732429504,0.8510203957557678,0.8938906788825989,0.9490196108818054,0.05098039284348488,0.8510203957557678,0.9490196704864502,0.9670908363345339,0.9689305078407341,417.0,484.0,26.0,73.0
8,0.570111870765686,0.75,1.0,0.6666666865348816,0.36246180534362793,0.8960000276565552,0.9297872185707092,0.8602362275123596,0.8936604857444763,0.9329268336296082,0.06707317382097244,0.8602362275123596,0.9329267740249634,0.9653631329620384,0.9707260018894357,437.0,459.0,33.0,71.0
9,0.25650084018707275,1.0,1.0,1.0,0.35582512617111206,0.9089999794960022,0.930962324142456,0.8846918344497681,0.9072375297546387,0.9336016178131104,0.06639838963747025,0.8846918344497681,0.9336015582084656,0.9688588789196412,0.9711959325437722,445.0,464.0,33.0,58.0
10,0.2653905153274536,1.0,1.0,1.0,0.4045388698577881,0.8840000033378601,0.8659999966621399,0.8983402252197266,0.8818737268447876,0.8706563711166382,0.12934362888336182,0.8983402848243713,0.8706563711166382,0.951609285634182,0.9529375356848123,433.0,451.0,67.0,49.0
11,0.24544686079025269,1.0,1.0,1.0,0.38357383012771606,0.890999972820282,0.942060112953186,0.8426103591918945,0.8895643353462219,0.9436325430870056,0.056367430835962296,0.8426103591918945,0.9436326026916504,0.9607707996906543,0.9628723354634936,439.0,452.0,27.0,82.0
12,0.21799597144126892,1.0,1.0,1.0,0.35616785287857056,0.9100000262260437,0.9314516186714172,0.8918918967247009,0.9112426042556763,0.9294605851173401,0.07053942233324051,0.8918918967247009,0.9294606447219849,0.968098655857992,0.9715030471926428,462.0,448.0,34.0,56.0
